Regulatory Compliance Code,Regulatory Compliance Version,Family Control Code,Family Control Name,Family Control Description,Objective Code ,Objective Name,"Objective Description 
",Control Code ,Control Name ,Control Description,Implementation Specification,Required for Certification Indicator,Compliance Level,Control Type,Control Topics
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.01,Internal Organization,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,05.a,Management Commitment to Information Security,"Management shall actively support security within the organization through clear direction, demonstrated commitment, explicit assignment, and acknowledgment of information security responsibilities.
","The organization's senior management shall:

1. appoint a senior-level information security official for the development, implementation and administration of security matters;
2. ensure that the organization's information security processes are in place, are communicated to all stakeholders, and consider and address organizational requirements;
3. formally assign an organization single point of contact or group to provide program oversight (governance), review and update the organizations security plan (strategy, policies, etc.), ensure compliance with the security plan by the workforce, and to evaluate and accept information security risk on behalf of the organization (e.g., CEO, COO, Security Steering Committee etc.):
4. formulate, review, and approve information security policies and a policy exception process;
5. periodically, at a minimum, annually, review and assess the effectiveness of the implementation of the information security policy;
6. provide clear direction and visible management support for security initiatives;
7. provide the resources needed for information security;
8. initiate plans and programs to maintain information security awareness;
9. ensure that all appropriate measures are taken to avoid cases of identity theft targeted at patients, employees and third parties;
10. ensure that the implementation of information security controls is coordinated across the organization; and
11. determine and coordinate, as needed, internal or external information security specialists, and review and coordinate results of the specialists' advice throughout the organization.

The organization shall:
1. ensure that all capital planning and investment requests include the resources needed to implement the information security program and documents all exceptions to this requirement;
2. employ a business case/Exhibit 300/Exhibit 53 to record the resources required; and
3. ensure that information security resources are available for expenditure as planned.

The organizations senior management shall:

1. ensure that organization's information security strategy and goals are identified and considered, and address organizational and healthcare­ specific requirements, and verify that appropriate processes are in place to meet the organization's strategy and goals;
2. formally review and approve in writing the establishment and administration of any information privacy. security and risk management programs;
3. formally approve in writing the assignment of specific roles and responsibilities for information security across the organization;
4. ensure the senior security official can demonstrate professional competency in security matters via a recognized security industry certification, appropriate vendor certifications or a minimum of five years of security related experience;
5. document its risk acceptance process; and
6. conduct an annual review (may be performed by a third party) of the effectiveness of its security program.

The organization shall formally appoint in writing non-professional or professional security contacts by name in each major organizational area or business unit.
1. the organization formally creates a dedicated security management forum and publishes the forum's member list and charter. Such responsibilities can be handled by a Security Advisory Board, Security Steering Committee or by an existing management body, such as the board of directors;
2. the organization conducts an annual assessment of the effectiveness of its security program performed by a qualified outside organization;
3. the organization shall publish security guidelines and/or daily operational procedures relating to processes that complement, clarify and enforce security policies.
",Y,,"
Organizational",Audit and Accountability; Awareness and Training; IT Organization and Management Roles and Responsibilities; Risk Management and Assessments
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.01,Internal Organization,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,05.b,Information Security Coordination,Information security activities shall be coordinated by representatives from different parts of the organization with relevant roles and job functions.,"The organization shall:
1. determine information security requirements for the information system in mission/business process planning;
2. determine, document and allocate the resources required to protect the information system or information system service as part of its capital planning and investment control process;and
3. establish a discrete line item for information security in organizational programming and budgeting information.

Information security coordination shall involve the active cooperation and collaboration across the entire organization. This activity shall:

1. ensure that security activities across the entire organization are executed in compliance with the information security policy and that deviations are identified and reviewed;
2. identify how to handle non-compliance (such as sanctions or disciplinary action);
3. assess the adequacy and coordinate the implementation of information security controls;
4. effectively promote information security education, training and
awareness throughout the organization.

If the organization does not use a separate cross-functional group because such a group is not appropriate for the organization's size, the actions described above shall be undertaken by another suitable management body or individual security representative.

Information security coordination shall involve the active cooperation and collaboration across the entire organization to include managers, users, administrators, application designers, auditors and security personnel.

Information security coordination shall also include specialist skills in areas such as insurance, legal issues, human resources, privacy, IT or risk management.

This activity shall:

1. address deviations via a risk acceptance process;
2. approve methodologies and processes for information security management activities (e.g., risk acceptance, information classification, security incidents);
3. identify and promptly report to senior management significant threat changes and exposure of information and information processing resources to threats;
4. evaluate information received from the monitoring and reviewing of information security incidents to conduct ""lessons learned"" activities, and recommend to senior management appropriate actions in response to identified information security incidents.
5. create an internal security information sharing mechanism, such as an e­ mail group, periodic conference call or standing meeting;
6. establish an internal reporting mechanism, such as a telephone hotline or dedicated e-mail address, to allow security contacts to report information security incidents or obtain security policy clarifications on a timely basis.

The organization develops a security plan for the information system that:

1. is consistent with the organizations enterprise architecture;
2. explicitly defines the authorization boundary for the system;
3. describes the operational context of the information system in terms of missions and business processes;
4. provides the security categorization of the information system including supporting rationale;
5. describes the operational environment for the information system;
6. describes relationships with or connections to other information systems;
7. provides an overview of the security requirements for the system;
8. identifies any relevant overlays, if applicable;
9. describes the security controls in place or planned for meeting those requirements including a rationale for tailoring and supplementation decisions; and
10. is reviewed and approved by the authorizing official or designated representative prior to plan implementation.

The organization shall update the system security plan:

1. at least every three (3) years;
2. when substantial changes are made to the system·
3. when changes in requirements result in the need to process data of a
higher sensitivity;
4. after the occurrence of a serious security violation which raises questions about the validity of an earlier security authorization; and
5. prior to expiration of a previous security authorization.

The organization shall plan and coordinate security-related activities affecting the information system before conducting such activities in order to reduce the impact on other organizational entities.

The organization shall:
1.  distribute copies of the information system's security plan to appropriate individuals and offices (e.g., CCO, CIO, business units);
2.  communicate any changes to the security plans to appropriate individuals and offices; and
3.  protect the plan from unauthorized disclosure and modification.
",Y,,"
Organizational",Awareness and Training; IT Organization and Management Roles and Responsibilities; Personnel; Third Parties and Contractors
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.01,Internal Organization,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,05.c,Allocation of Information Security Responsibilities,"All information security responsibilities shall be clearly defined. 
","The organization's senior-level information security official shall coordinate, develop, implement, and maintain an organization-wide information security program.

The organization shall formally assign the following specific information security responsibilities to an individual or team:

1. establishment, documentation and distribution of security policies and procedures;
2. monitoring and analyzing security alerts and information, and distributing security alerts, information and analysis to appropriate personnel;
3. establishment, documentation and distribution of security incident response and escalation procedures to ensure timely and effective handling of all situations;
4. administering user accounts, including additions, deletions and modifications; and
5. monitoring and controlling all access to data.

Information security roles & responsibilities shall be coordinated and aligned with internal roles and external partners.

The organization shall clearly assign responsibilities to identify all IT assets that need protection and apply controls to meet security policy. The allocation of information security responsibilities shall be done in accordance with the information security policy. Responsibilities for the protection of individual assets and for carrying out specific security processes shall be clearly identified.

This responsibility shall be supplemented, where necessary, with more detailed guidance for specific assets and facilities. Individuals with allocated security responsibilities may delegate security tasks to others. Nevertheless, they remain accountable and shall determine that any delegated tasks have been correctly performed.

The organization shall identify by name or position non-professional or professional security contacts in each major organizational area or business unit.

The organization shall clearly define the roles, responsibilities and authority of each security contact including the administration and implementation of the organization's security programs. Each security contact shall annually document compliance related to identified legal requirements (see CSF 06.a) and report to the organization's single point of contact for security.

The reports shall include:

1. evaluations on the effectiveness of the policies and procedures implemented in addressing risk;
2. evaluations of service provider arrangements (see CSF 09.e, 09.f, 09.g);
3. significant incidents and the response; and
4. recommendations for material changes to the security programs for which they are responsible.

The organization's single point of contact for security matters shall provide supplemental security awareness and training. The contact for security shall be responsible for review reports related to the security organization, network, systems and programs implemented. Any material changes to these items shall be formally approved by the contact for security prior to implementation.

Local responsibilities for the protection of assets and for carrying out specific security processes, such as business continuity planning, shall be clearly defined.

Additionally, the following shall take place:

1.   the assets and security processes associated with each particular system shall be identified and clearly defined·
2.  the entity responsible (owner) for each asset or security process shall be assigned and the details of this responsibility shall be documented (see 07.b);
3. authorization levels shall be clearly defined and documented; and
4. to be able to fulfil responsibilities in the information security area, the appointed individuals should be competent in the area and be given opportunities to keep up to date with developments

The organization shall specifically define the roles, responsibilities of each security contact in writing.
",N,,"
Organizational",Authorization; IT Organization and Management Roles and Responsibilities; Media and Assets
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.01,Internal Organization,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,05.d,Authorization Process for Information Assets and Facilities,"A management authorization process for new information assets {e.g.
systems and applications) {see Other Information), and facilities {e.g. data centers or offices where covered information is to be processed) shall be defined and implemented.","The following shall be required for the authorization process:

1.   new information processing assets (internal to the organization or via a service provided by a third party) shall have appropriate user
management authorization of their purpose and use, and authorization
shall also be obtained from the manager responsible for maintaining the local information system security environment to ensure that all relevant security policies and requirements are met;
2.  information assets shall have appropriate security measures commensurate with the type of information it will store, process or transmit;
3.  the assets shall comply with all applicable laws, regulations, standards policies and other applicable sections of the HITRUST Common Security Framework;
4.  hardware and software shall be checked to ensure that they are compatible with other system components; and
5.  necessary controls for the use of personal or privately owned information processing equipment (e.g., laptops, home-computers or hand-held devices) for processing business information, which may introduce new vulnerabilities, shall be identified and implemented.

Management formally authorizes (approves) new information assets and facilities for processing (use) before commencing operations and periodically reviews and updates authorizations (approvals) at a frequency defined by the organization but no less than 3 years.

All new facilities shall undergo a site security survey by the organization's security department or a trusted third party, and resolve all security shortcomings before any covered information is processed at that location. All sites that process covered information shall be reviewed on an annual basis to ensure their continued suitability to process covered information. This process shall also be invoked if the site undergoes a significant chance in mission or makes substantive physical changes in its facilities or workforce.",N,,"
Organizational","
Authorization; IT Organization and Management Roles and Responsibilities; Media and Assets; Physical and Facility Security; Policies and Procedures; Requirements (Legal and Contractual)"
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.01,Internal Organization,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,05.e,Confidentiality Agreements,"Requirements for confidentiality or non-disclosure agreements reflecting the organization's needs for the protection of information shall be identified and regularly reviewed. 
","Confidentiality or non-disclosure agreements shall address the requirement to protect confidential information using legally enforceable terms.

Confidentiality or non-disclosure agreements shall include, but are not limited to, the following:

1. a definition of the information to be protected (e.g., confidential information);
2. expected duration of an agreement, including cases where confidentiality might need to be maintained indefinitely;
3. required actions when an agreement is terminated;
4. responsibilities and actions of signatories to avoid unauthorized information disclosure (such as 'need to know');
5. disclosures required to be limited to the limited data set (see 07.d) or the minimum necessary to accomplish the intended purpose of such use, disclosure, or request;
6. ownership of information, trade secrets and intellectual property, and how this relates to the protection of confidential information;
7. the permitted use of confidential information, and rights of the signatory to use information;
8. individuals' rights to obtain a copy of the individual's information in an electronic format;
9. individuals' rights to have the individual's information transmitted to another entity or person designated by the individual, provided the request is clear, conspicuous, and specific;
10. the right to audit and monitor activities that involve confidential information;
11. the process for notification and reporting of unauthorized disclosure or confidential information breaches;
12. terms for information to be returned or destroyed at agreement cessation; and
13. expected actions to be taken (i.e. penalties that are possible) in case of a breach of this agreement.

The confidentiality agreement shall be applicable to all personnel accessing covered information. Confidentiality and non-disclosure agreements shall comply with all applicable laws and regulations for the jurisdiction to which it applies (see 06.a). Requirements for confidentiality and non-disclosure agreements shall be
reviewed at least annually and when changes occur that influence these requirements.

The organization shall publish a list of representatives who are authorized to sign a non-disclosure agreement on behalf of the organization. This list shall be kept up to date to reflect personnel changes and departures.
",N,,"
Organizational",Documentation and Records; Personnel; Requirements (Legal and Contractual); Third Parties and Contractors
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.01,Internal Organization,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,05.f,Contact with Authorities,"Appropriate contacts with relevant authorities shall be maintained. 
","The organization should define a plan with associated contact information for reporting security incidents to law enforcement if it is expected that laws may have
been broken. The organization shall include key contacts including phone numbers and e-mail addresses as part of its incident management and/or business continuity plan. The organization shall designate a point of contact to review the list at least annually to keep it current.

Organizations under attack from the Internet may need external third parties (e.g., an Internet service provider or telecommunications operator) to take action against the attack source. The appropriate contact information for these third parties shall be documented, and instances when they must be contacted to take action shall be communicated.

Each group within the organization (e.g., information security) shall have procedures documented and implemented that specify when and by whom authorities (e.g., law enforcement, fire department, supervisory authorities) shall be contacted, and how identified information security incidents shall be reported in a timely manner if it is suspected that laws may have been broken.

The organization shall include key contacts including phone numbers and e-mail addresses as part of its incident management and/or business continuity plan.
The organization shall designate a point of contact to review the list at least quarterly to keep it current.

The organization shall conduct an exercise at least annually and make contact with a majority {at least 80 percent) of the listed contacts. During this incident/continuity plan exercise the organization shall document that the contact person and information are current.
",N,,"
Organizational",Documentation and Records; Incident Response; Policies and Procedures; Third Parties and Contractors
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.01,Internal Organization,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,05.g,Contact with Special Interest Groups,Appropriate contacts with special interest groups or other specialist security forums and professional associations shall be maintained.,"Membership in organization-defined special interest groups or forums shall be considered as a means to:
1. improve knowledge about best practices and staying up to date with relevant security information;
2. ensure the understanding of the information security environment is current and complete;
3. receive early warnings of alerts, advisories, and patches pertaining to
attacks and vulnerabilities·
4.  gain access to specialist information security advice;
5. share and exchange information about new technologies, products, threats, or vulnerabilities;
6. provide suitable liaison points when dealing with information security incidents (see 11.c).

Membership in special interest groups or forums shall be required and actively maintained.
The organization shall have a process to quickly identify newly discovered security vulnerabilities such as a credible subscription service. The organization shall have a process to map new vulnerabilities into its security policies, guidelines and daily operational procedures.
",N,,"
Organizational",Incident Response; Third Parties and Contractors
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.01,Internal Organization,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,05.h,Independent Review of Information Security,"The organization's approach to managing information security and its implementation (control objectives, controls, policies, processes, and procedures for information security) shall be reviewed independently at planned intervals, at a minimum annually, or when significant changes to the security implementation occur.","An independent review of the organizations information security management program shall be initiated by management. Such an independent review is necessary to ensure the continuing suitability, adequacy, and effectiveness of the organization's approach to managing information security and privacy.

The review shall:

1. include an assessment of the organizations adherence to its security plan;
2. address the need for changes to the approach to security in light of evolving circumstances, including the policy and control objectives and other opportunities for improvement, including those based on regular vulnerability assessments (e.g., network scans and penetration testing);
3. be carried out by individuals independent of the area under review (e.g., the internal audit function, an independent manager or a third party organization specializing in such reviews); and
4. be carried out by individuals who have the appropriate skills and experience.

The results of the independent review shall:

1. be recorded and reported to the management who initiated the review; and
2. be maintained for a predetermined period of time as determined by the organization, but not less than three years.

If the independent review identifies that the organization's approach and implementation to managing information security is inadequate or not compliant with the direction for information security stated in the information security policy document (see 4.a), management shall take corrective actions.

The independent review of the information security management program and information security controls shall be conducted at least annually or whenever there is a material change to the business practices that may implicate the security or integrity of records containing personal information.
",N,,"
Organizational",Audit and Accountability; Documentation and Records; IT Organization and Management Roles and Responsibilities
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.02,External Parties,"To ensure that the security of the organization's information and information assets, are not reduced by the introduction of external party products or services.",05.i,Identification of Risks Related to External Parties,"The risks to the organization's information and information assets from business processes involving external parties shall be identified, and appropriate controls implemented before granting access.","Due diligence, including an evaluation of the information security risks posed by external parties, shall be carried out to identify any requirements for specific controls where access to sensitive information (e.g., covered information, cardholder data) by external parties is required prior to establishing a formal relationship with the service provider.

The identification of risks related to external party access shall take into account the following issues:

1. the information asset(s) an external party is required to access;
2. the type of access the external party will have to the information and information asset(s), such as:
i. physical access (e.g., to offices, computer rooms, filing cabinets);
ii. logical access (e.g., to an organization's databases, information systems);
iii. network connectivity between the organization's and the external party's network(s) (e.g., permanent connection, remote access);
iv. whether the access is taking place on-site or off-site;
3. the value and sensitivity of the information involved, and its criticality for business operations;
4. the controls necessary to protect information that is not intended to be accessible by external parties;
5. the external party personnel involved in handling the organization's information;
6. how the organization or personnel authorized to have access can be identified, the authorization verified, and how often this needs to be reconfirmed;
7. the different means and controls employed by the external party when storing, processing, communicating, sharing and exchanging information;
8. the impact of access not being available to the external party when required, and the external party entering or receiving inaccurate or misleading information;
9. practices and procedures to deal with information security incidents and potential damages, and the terms and conditions for the continuation of external party access in the case of an information security incident;
10. legal and regulatory requirements and other contractual obligations relevant to the external party that shall be taken into account;
11. how the interests of any other stakeholders may be affected by the arrangements.

Access by external parties to the organization's information shall not be provided until the appropriate controls have been implemented and, where feasible, a contract has been signed defining the terms and conditions for the connection or access and the working arrangement. All security requirements resulting from work with external parties or internal controls shall be reflected by the agreement with the external party (see 5.i and 5.j). All remote access connections between the organization and all external parties shall be secured via encrypted channels (e.g., VPN). Any covered information shared with an external party shall be encrypted prior to transmission.

External parties shall be granted minimum necessary access to the organization's information assets to minimize risks to security. All access granted to external parties shall be limited in duration and revoked when no longer needed.

It shall be ensured that the external party is aware of their obligations, and accepts the responsibilities and liabilities involved in accessing, processing, communicating, or managing the organization's information and information assets.

The organization shall conduct due diligence of the external party via interviews, document review, checklists, review certifications (e.g., HITRUST) or other remote means. The process for conducting external party due diligence shall be
integrated with the execution of a non-disclosure agreement (NOA) (see 05.e).

Organizations shall obtain satisfactory assurances that reasonable information security exists across their information supply chain by performing an annual review, which shall include all partners/third party-providers upon which their information supply chain depends.

",Y,,"
Organizational",Authorization; Communications and Transmissions; Requirements (Legal and Contractual); Risk Management and Assessments; Third Parties and Contractors; User Access
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.02,External Parties,"To ensure that the security of the organization's information and information assets, are not reduced by the introduction of external party products or services.",05.j,Addressing Security When Dealing with Customers,All identified security requirements shall be addressed before giving customers access to the organization's information or assets.,"The following security terms shall be addressed prior to giving customers access to any of the organization's assets:

1. description of the product or service to be provided;
2. the right to monitor, and revoke, any activity related to the organization's assets; and
3. the respective liabilities of the organization and the customer.

It shall be ensured that the customer is aware of their obligations and rights, and accepts the responsibilities and liabilities involved in accessing, processing, communicating, or managing the organization's information and information assets. Awareness shall be provided through security awareness materials and education on an ongoing basis and should discuss, at a minimum, how data will be used, the protections provided their data (at a high-level), and any tools available to them to protect their own data.

The organization shall permit an individual to request to restrict the disclosure of the individual's covered information to a business associate for purposes of carrying out payment or health care operations, and is not for purposes of carrying out treatment.

The organization shall respond to any requests from an individual on the disclosure of the individual's covered information, providing the individual with records (see 06.c) of disclosures of covered information that are made by the organization and either:

1. records (see 06.c) of disclosures of covered information made by a business associate acting on behalf of the organization; or
2. a list of all business associates acting on behalf of the covered entity,
including contact information for such associates (such as mailing address, phone, and email address).

The organization shall ensure that the public has access to information about its security and privacy activities and is able to communicate with its senior privacy official (e.g., Chief Privacy Officer, Chief Data Protection Officer) senior security official (e.g., Chief Information Security Officer, Chief Data Protection Officer).
Information may be provided on the organizations privacy and security program(s) (e.g., see 0.1, 03.a, 04.a, 06.d) at a high-level; however, such information should, at a minimum, address the organizations privacy practices as required by statute (see 13.a) and describe the organizations breach notification process (see 11.a), actions individuals should take to protect themselves (see 05.j), and how the public can easily submit information about potential vulnerabilities and bugs (see also 11.a).

The following security terms shall be addressed prior to giving customers access to any of the organization's assets:

1. asset protection, including:
i. procedures to protect the organization's assets, including information and software, and management of known vulnerabilities;
ii. procedures to determine whether any compromise of the assets (e.g., loss or modification of data) has occurred;
iii. integrity; and
iv. restrictions on copying and disclosing information;
2. access control policy, covering:
i. permitted access methods, and the control and use of unique identifiers such as user IDs and passwords;
ii. an authorization process for user access and privileges;
iii. a statement that all access that is not explicitly authorized is forbidden;
iv. a process for revoking access rights or interrupting the connection between systems;
3. arrangements for reporting, notification, and investigation of information inaccuracies (e.g., of personal details), information security incidents and security breaches;
4. a description of each service to be made available;
5. the target level of service and unacceptable levels of service;
6. the different reasons, requirements, and benefits for customer access;
7. responsibilities with respect to legal matters and how it is ensured that the legal requirements are met (e.g., data protection legislation), especially taking into account different national legal systems if the agreement involves co-operation with customers in other countries (see 06.i); and
8. intellectual property rights (IPRs) and copyright assignment (see 06.b) and protection of any collaborative work (see 05.e).

Access by customers to the organization's information shall not be provided until the appropriate controls have been implemented and, where feasible, a contract has been signed defining the terms and conditions for the connection or access and the working arrangement. All security requirements resulting from work with external parties or internal controls shall be reflected by the agreement with the external party.

For all system connections that allow customers to access the organization's computing assets such as Web Sites, kiosks and public access terminals, the organization shall provide appropriate text or a link to the organization's privacy policy for data use and protection as well as the customer's responsibilities when accessing the data. The organization shall have a formal mechanism to authenticate (see 01.b) the customer's identity prior to granting access to covered information.
",N,,"
Organizational",Authentication; Incident Response; Requirements (Legal and Contractual); Third Parties and Contractors; User Access
HITRUST,2016V8.0,5,Organization of Information Security,To maintain the security of the organization's information and information assets (data centers or offices that process covered information).,5.02,External Parties,"To ensure that the security of the organization's information and information assets, are not reduced by the introduction of external party products or services.",05.k,Addressing Security in Third Party Agreements,"Agreements with third parties involving accessing, processing, communicating or
managing the organization's information or information assets, or adding products or services to information assets shall cover all relevant security requirements.","The organization shall identify and mandate information security controls to specifically address supplier access to the organization's information and information assets.

The organization shall maintain written agreements (contracts) that includes an acknowledgement that the third party (e.g., a service provider) is responsible for the security of the data the third party possesses or otherwise stores, processes or transmits on behalf of the organization, or to the extent that they could impact the security of the organization's information environment. Agreements shall include requirements to address the information security risks associated with information and communications technology services (e.g., cloud computing services) and product supply chain.

The agreement shall ensure that there is no misunderstanding between the organization and the third party. Organizations shall satisfy themselves as to the indemnity of the third party.

The following terms shall be implemented for inclusion in the agreement in order to satisfy the identified security requirements (see 05.i):

1. the information security policy;
2. controls to ensure asset protection, including:
i. procedures to protect organizational assets, including information, software and hardware;
ii. any required physical protection controls and mechanisms;
iii. controls to ensure protection against malicious software (see 9.j); iv.  procedures to determine whether any compromise of the assets
(e.g., loss or modification of information, software and hardware) has occurred;
v. controls to ensure the return or destruction of information and assets at the end of, or at an agreed point in time during the agreement;
vi. confidentiality, integrity, availability, and any other relevant property of the assets; and
vii. restrictions on copying and disclosing information, and using confidentiality agreements (see 05.b);
3. user and administrator training in methods, procedures, and security;
4. ensuring user awareness for information security responsibilities and issues;
5. provision for the transfer of personnel, where appropriate;
6. responsibilities regarding hardware and software installation and maintenance;
7. a clear reporting structure and agreed reporting formats;
8. a clear and specified process of change management;
9. access control policy, covering:
i. the different reasons, requirements, and benefits that make the access by the third party necessary;
ii. permitted access methods, and the control and use of unique identifiers such as user IDs and passwords;
iii. an authorization process for user access and privileges;
iv. a requirement to maintain a list of individuals authorized to use the services being made available, and what their rights and privileges are with respect to such use;
v. a statement that all access that is not explicitly authorized is forbidden; and
vi. a process for revoking access rights or interrupting the connection between systems;
10. arrangements for reporting, notification (e.g., how when and to whom), and investigation of information security incidents and security breaches, as well as violations of the requirements stated in the agreement, stating:
i. the third party, following the discovery of a breach of unsecured covered information, shall notify the organization of such breach, including the identification of each individual whose unsecured protected health information has been, or is reasonably believed by the business associate to have been, accessed, acquired, or disclosed during such breach;
ii. all notifications shall be made without unreasonable delay and in no case later than 60 calendar days after the discovery of a breach if the BA is an agent of the covered entity, otherwise the timing of the notification should be explicitly addressed in the contract if the BA is not an agent of the covered entity;
iii. evidence shall be maintained demonstrating that all notifications were made without unreasonable delay; and
iv. any other information that may be needed in the notification to individuals, either at the time notice of the breach is provided or promptly thereafter as information becomes available.
11. a description of the product or service to be provided, and a description of the information to be made available along with its security classification (see CSF 07.d);
12. the target level of service and unacceptable levels of service;
13. the definition of verifiable performance criteria, their monitoring and reporting;
14. the right to monitor, and revoke, any activity related to the organization's assets;
15. the right to audit responsibilities defined in the agreement  to have those audits carried out by a third party, and to enumerate the statutory rights of auditors;
16. the penalties exacted in the event of any failure in respect of the above;
17. the establishment of an escalation process for problem resolution;
18. service continuity requirements, including measures for availability and reliability, in accordance with an organization's business priorities;
19. the respective liabilities of the parties to the agreement;
20. responsibilities with respect to legal matters and how it is ensured that the legal requirements are met (e.g., data protection legislation) especially taking into account different national legal systems if the agreement involves co-operation with organizations in other countries (see 6.1);
21. intellectual property rights (IPRs) and copyright assignment (see 6. b) and protection of any collaborative work (see 5.e); and
22. conditions for renegotiation/termination of agreements:
i. a contingency plan shall be in place in case either party wishes to terminate the relation before the end of the agreements;
ii. renegotiation of agreements if the security requirements of the organization change; and
iii. current documentation of asset lists, licenses, agreements or rights relating to them.

The organization shall establish and document personnel security requirements including security roles and responsibilities for third-party providers that are coordinated and aligned with internal security roles and responsibilities and monitor provider compliance.

A screening process shall also be carried out for contractors and third party users. Where contractors are provided through an organization the contract with the organization shall clearly specify the organization's responsibilities for screening and the notification procedures they need to follow if screening has not been completed or if the results give cause for doubt or concern. In the same way, the agreement with the third party shall clearly specify all responsibilities and notification procedures for screening.

The organization requires third-party providers to notify a designated individual or role (e.g., a member of the contracting or supply chain function) of any personnel transfers or terminations of third-party personnel who possess organizational credentials and/or badges, or who have information system privileges within fifteen (15) calendar days.

Organizations shall employ formal contracts that, at a minimum, specify:
1. the confidential nature and value of the covered information;
2. the security measures to be implemented and/or complied with, including the organizations information security requirements as well as appropriate controls required by applicable federal laws, Executive Orders, directives, policies, regulations, standards and guidance;
3. limitations to access to these services by third parties;
4. the service levels to be achieved in the services provided;
5. the format and frequency of reporting to the organization's Information Security Management Forum;
6. the arrangement for representation of the third party in appropriate organization meetings and working groups;
7. the arrangements for compliance auditing of the third parties;
8. the penalties exacted in the event of any failure in respect of the above; and
9. the requirement to notify a specified person or office of any personnel
transfers or terminations of third-party personnel working at organizational facilities with organizational credentials, badges, or information system privileges within one (1) business day.


",Y,,"
Organizational",Authorization; Awareness and Training; Documentation and Records; IT Organization and Management Roles and Responsibilities; Policies and Procedures; Requirements (Legal and Contractual); Third Parties and Contractors; User Access
